code,name,symbol,allowed,date_created,last_updated
EUR,Euro,€,true,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
SEK,Swedish Krona,kr,true,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
GBP,British Pound,£,true,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
USD,United States Dollar,$,true,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
JPY,Japanese Yen,¥,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
AUD,Australian Dollar,$,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
CAD,Canadian Dollar,$,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
CHF,Swiss Franc,CHF,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
CNY,Chinese Yuan,¥,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
HKD,Hong Kong Dollar,HK$,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
NZD,New Zealand Dollar,$,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
RUB,Russian Ruble,₽,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
INR,Indian Rupee,₹,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
BRL,Brazilian Real,R$,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
KRW,South Korean Won,₩,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
MXN,Mexican Peso,$,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
SGD,Singapore Dollar,S$,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
NOK,Norwegian Krone,kr,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
TRY,Turkish Lira,₺,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
ZAR,South African Rand,R,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
AED,United Arab Emirates Dirham,د.إ,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
BTC,Bitcoin,₿,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
ETH,Ethereum,Ξ,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
XRP,Ripple,XRP,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
LTC,Litecoin,Ł,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
BCH,Bitcoin Cash,BCH,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
ADA,Cardano,ADA,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
XLM,Stellar,XLM,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
USDT,Tether,USDT,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
DOT,Polkadot,DOT,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
DOGE,Dogecoin,DOGE,false,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
